housing_type,Cooking,Electrical,Heating,Open flame,Other,Smoking,Unknown
Multifamily,24.113475177304963,19.148936170212767,15.957446808510639,3.546099290780142,9.929078014184398,18.085106382978726,9.219858156028367
Single-family,23.0,17.666666666666668,20.0,6.0,18.666666666666668,4.666666666666667,10.0
