urban_class,population,structure,vehicle,outdoor,trash,other,structure_per_1000,structure_annual_per_1000,vehicle_per_1000,vehicle_annual_per_1000,outdoor_per_1000,outdoor_annual_per_1000,trash_per_1000,trash_annual_per_1000,other_per_1000,other_annual_per_1000
urban_core,38257.967304847814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inner_suburban,716268.0719156157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
outer_suburban,534539.6733031154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
