urban_class,population,total_units,single_family,multifamily,total_incidents,structure_fires,area_sq_miles,num_response_areas,incidents_per_1000_pop,incidents_per_1000_units,structure_fires_per_1000_units,pop_density,pct_single_family,annual_incidents_per_1000_pop,annual_incidents_per_1000_units
urban_core,38257.96730484787,12535.13408284548,2249.0752101678922,10257.19656672807,621.0,122.0,2.557179764549429,4,16.2319130823584,49.54075448222352,9.732644197795926,14961.000331390023,17.94217114315343,5.410637694119466,16.51358482740784
inner_suburban,716268.0719156157,341294.5660467673,167233.59856593172,169401.51287774538,14889.0,2223.0,145.17551653546616,166,20.786910074297,43.62507195019265,6.5134350826300125,4933.807635123051,48.99978353098533,6.928970024765667,14.541690650064217
outer_suburban,534539.2659563293,217802.9904103895,154173.21408431086,49714.240415240674,4617.0,689.0,4421.4323040472955,500,8.637344895028159,21.1980560565332,3.1634092750598604,120.89730865426169,70.78562777940472,2.879114965009386,7.066018685511067
