<<<<<<< HEAD
housing_type,2022,2023,2024
Multifamily (<25% SF),2.936835154477472,2.8416599411379244,2.8280634820894175
Mixed-low (25-50% SF),2.0448129716414933,1.9874330158046147,2.1074092870999066
Mixed-high (50-75% SF),0.9455043835976377,0.8435111993611578,0.9096689404875231
Single-family (>75% SF),0.3444997847363063,0.4880413617097673,0.42344765207170987
=======
housing_type
>>>>>>> 38ba77314f8372c84ef7fb4f4c9a9bd2128a226d
