urban_class,population,area_sq_miles,num_stations,pop_per_station,sq_miles_per_station,stations_per_100k
inner_suburban,870050.5495241974,183.07173801332004,36,24168.070820116594,5.085326055925557,4.137690622652586
outer_suburban,1243469.403001517,6392.805388393688,25,49738.776120060684,255.71221553574753,2.0105038322337796
urban_core,38257.96730484895,2.55717976454946,2,19128.983652424475,1.27858988227473,5.227669269680495
