incident_number,calendaryear,month,incdate,problem,responsearea,prioritydescription,council_district,location,longitude,latitude
22046757,2022,Apr,04/07/2022 12:00:00 AM,BOX -Structure Fire,00-1803,1F,4,"(-97.707136,30.309246)",-97.707136,30.309246
22046782,2022,Apr,04/07/2022 12:00:00 AM,BOX -Structure Fire,00-1705,1F,5,"(-97.782955,30.234424)",-97.782955,30.234424
22046974,2022,Apr,04/07/2022 12:00:00 AM,BOXHI - HIRISE Structure Fire,00-0201,1F,1,"(-97.730973,30.283918)",-97.730973,30.283918
22047037,2022,Apr,04/07/2022 12:00:00 AM,BOXS - Still Box Alarm,00-3004,1F,1,"(-97.671294,30.394254)",-97.671294,30.394254
22047184,2022,Apr,04/07/2022 12:00:00 AM,BOXMID -MIDRISE Structure Fire,00-2302,1F,1,"(-97.676531,30.348867)",-97.676531,30.348867
22047251,2022,Apr,04/07/2022 12:00:00 AM,BOX -Structure Fire,00-1705,1F,5,"(-97.777249,30.235395)",-97.777249,30.235395
22047420,2022,Apr,04/08/2022 12:00:00 AM,BOXL- Structure Fire,00-2403,1F,2,"(-97.765310,30.192780)",-97.76531,30.19278
22048133,2022,Apr,04/09/2022 12:00:00 AM,BOX -Structure Fire,00-3605,1F,2,"(-97.798897,30.174332)",-97.798897,30.174332
22048136,2022,Apr,04/09/2022 12:00:00 AM,BOX -Structure Fire,00-1705,1F,3,"(-97.776065,30.230779)",-97.776065,30.230779
22048137,2022,Apr,04/09/2022 12:00:00 AM,BOXL- Structure Fire,04-4701,1F,10,"(-97.848057,30.360249)",-97.848057,30.360249
22048269,2022,Apr,04/09/2022 12:00:00 AM,BOXS - Still Box Alarm,00-2102,1F,10,"(-97.766568,30.383137)",-97.766568,30.383137
22048526,2022,Apr,04/10/2022 12:00:00 AM,BOXS - Still Box Alarm,00-2303,1F,1,"(-97.658595,30.328788)",-97.658595,30.328788
22048548,2022,Apr,04/10/2022 12:00:00 AM,BOXMID -MIDRISE Structure Fire,00-0701,1F,3,"(-97.732441,30.252726)",-97.732441,30.252726
22048879,2022,Apr,04/11/2022 12:00:00 AM,BOX -Structure Fire,00-0504,1F,1,"(-97.674037,30.299454)",-97.674037,30.299454
22048974,2022,Apr,04/11/2022 12:00:00 AM,BOX -Structure Fire,00-2504,1F,10,"(-97.747721,30.408569)",-97.747721,30.408569
22049089,2022,Apr,04/11/2022 12:00:00 AM,BOX -Structure Fire,00-1404,1F,9,"(-97.713008,30.296393)",-97.713008,30.296393
22049247,2022,Apr,04/12/2022 12:00:00 AM,BOX -Structure Fire,00-1407,1F,4,"(-97.713061,30.314401)",-97.713061,30.314401
22049511,2022,Apr,04/12/2022 12:00:00 AM,BOX -Structure Fire,00-2806,1F,7,"(-97.698947,30.440394)",-97.698947,30.440394
22049670,2022,Apr,04/12/2022 12:00:00 AM,BOXL- Structure Fire,04-2609,1F,-,"(-97.607830,30.263344)",-97.60783,30.263344
22049744,2022,Apr,04/13/2022 12:00:00 AM,BOX -Structure Fire,04-4802,1F,-,"(-97.629832,30.220856)",-97.629832,30.220856
22049786,2022,Apr,04/13/2022 12:00:00 AM,BOXL- Structure Fire,00-1202,1F,7,"(-97.743126,30.325231)",-97.743126,30.325231
22050168,2022,Apr,04/13/2022 12:00:00 AM,BOXL- Structure Fire,00-0504,1F,1,"(-97.671960,30.290004)",-97.67196,30.290004
22050259,2022,Apr,04/14/2022 12:00:00 AM,BOX -Structure Fire,00-1403,1F,9,"(-97.716860,30.292347)",-97.71686,30.292347
22050472,2022,Apr,04/14/2022 12:00:00 AM,BOX -Structure Fire,00-5101,1F,8,"(-97.838475,30.233928)",-97.838475,30.233928
22050592,2022,Apr,04/14/2022 12:00:00 AM,BOXS - Still Box Alarm,00-3502,1F,3,"(-97.737170,30.216809)",-97.73717,30.216809
22050956,2022,Apr,04/15/2022 12:00:00 AM,BOXS - Still Box Alarm,00-3901,1F,6,"(-97.841568,30.420693)",-97.841568,30.420693
22051241,2022,Apr,04/16/2022 12:00:00 AM,BOXMID -MIDRISE Structure Fire,00-1206,1F,10,"(-97.755189,30.314474)",-97.755189,30.314474
22051712,2022,Apr,04/17/2022 12:00:00 AM,BOXS - Still Box Alarm,SV-5109,1F,-,"(-97.819920,30.230296)",-97.81992,30.230296
22051865,2022,Apr,04/17/2022 12:00:00 AM,BOXL- Structure Fire,00-0303,1F,9,"(-97.734086,30.291928)",-97.734086,30.291928
22052096,2022,Apr,04/17/2022 12:00:00 AM,BOX -Structure Fire,00-4903,1F,5,"(-97.785111,30.152271)",-97.785111,30.152271
22052120,2022,Apr,04/17/2022 12:00:00 AM,BOX -Structure Fire,00-0101,1F,3,"(-97.732386,30.263986)",-97.732386,30.263986
22052171,2022,Apr,04/18/2022 12:00:00 AM,BOXS - Still Box Alarm,00-2304,1F,4,"(-97.694858,30.337799)",-97.694858,30.337799
22052176,2022,Apr,04/18/2022 12:00:00 AM,BOX -Structure Fire,00-0101,1F,9,"(-97.738073,30.266732)",-97.738073,30.266732
22052584,2022,Apr,04/18/2022 12:00:00 AM,BOX -Structure Fire,00-2706,1F,8,"(-97.883084,30.229185)",-97.883084,30.229185
22053048,2022,Apr,04/19/2022 12:00:00 AM,BOXHI - HIRISE Structure Fire,00-0401,1F,9,"(-97.755051,30.267203)",-97.755051,30.267203
22053135,2022,Apr,04/20/2022 12:00:00 AM,BOX -Structure Fire,00-3400,1F,6,"(-97.785227,30.462801)",-97.785227,30.462801
22053136,2022,Apr,04/20/2022 12:00:00 AM,BOXS - Still Box Alarm,00-0102,1F,1,"(-97.737950,30.271869)",-97.73795,30.271869
22053142,2022,Apr,04/20/2022 12:00:00 AM,BOX -Structure Fire,00-0803,1F,4,"(-97.707488,30.352828)",-97.707488,30.352828
22053328,2022,Apr,04/20/2022 12:00:00 AM,BOXS - Still Box Alarm,00-3502,1F,3,"(-97.742251,30.224559)",-97.742251,30.224559
22053354,2022,Apr,04/20/2022 12:00:00 AM,BOXL- Structure Fire,00-2304,1F,4,"(-97.690482,30.353742)",-97.690482,30.353742
