incident_number,calendaryear,month,incdate,problem,responsearea,prioritydescription,council_district,location,longitude,latitude
22076166,2022,Jun,06/06/2022 12:00:00 AM,BOXL- Structure Fire,00-3102,1F,10,"(-97.798330,30.380037)",-97.79833,30.380037
22076399,2022,Jun,06/06/2022 12:00:00 AM,BOX -Structure Fire,04-4410,1F,-,"(-97.729058,30.447933)",-97.729058,30.447933
22076527,2022,Jun,06/06/2022 12:00:00 AM,BOX -Structure Fire,00-4003,1F,1,"(-97.652376,30.356743)",-97.652376,30.356743
22076671,2022,Jun,06/07/2022 12:00:00 AM,BOX -Structure Fire,00-2205,1F,3,"(-97.694316,30.236766)",-97.694316,30.236766
22076936,2022,Jun,06/07/2022 12:00:00 AM,BOXL- Structure Fire,00-4204,1F,2,"(-97.664896,30.202205)",-97.664896,30.202205
22076940,2022,Jun,06/07/2022 12:00:00 AM,BOXL- Structure Fire,00-3005,1F,4,"(-97.688756,30.377686)",-97.688756,30.377686
22077048,2022,Jun,06/07/2022 12:00:00 AM,BOXS - Still Box Alarm,00-3102,1F,10,"(-97.788366,30.369510)",-97.788366,30.36951
22077120,2022,Jun,06/08/2022 12:00:00 AM,BOX -Structure Fire,00-0802,1F,4,"(-97.699786,30.358102)",-97.699786,30.358102
22077183,2022,Jun,06/08/2022 12:00:00 AM,BOX -Structure Fire,00-2301,1F,4,"(-97.676843,30.359636)",-97.676843,30.359636
22077343,2022,Jun,06/08/2022 12:00:00 AM,BOXL- Structure Fire,00-4001,1F,7,"(-97.664726,30.398737)",-97.664726,30.398737
22077459,2022,Jun,06/08/2022 12:00:00 AM,BOXHI - HIRISE Structure Fire,00-0101,1F,9,"(-97.739349,30.257291)",-97.739349,30.257291
22077682,2022,Jun,06/09/2022 12:00:00 AM,BOXL- Structure Fire,00-2201,1F,3,"(-97.721476,30.228929)",-97.721476,30.228929
22078031,2022,Jun,06/10/2022 12:00:00 AM,BOX -Structure Fire,00-1402,1F,1,"(-97.698689,30.284616)",-97.698689,30.284616
22078212,2022,Jun,06/10/2022 12:00:00 AM,BOX -Structure Fire,00-1402,1F,1,"(-97.698689,30.284616)",-97.698689,30.284616
22078463,2022,Jun,06/10/2022 12:00:00 AM,BOXMID -MIDRISE Structure Fire,00-1205,1F,9,"(-97.732472,30.313530)",-97.732472,30.31353
22078533,2022,Jun,06/11/2022 12:00:00 AM,BOXL- Structure Fire,00-4004,1F,1,"(-97.657766,30.384171)",-97.657766,30.384171
22078539,2022,Jun,06/11/2022 12:00:00 AM,BOX -Structure Fire,00-1402,1F,1,"(-97.698689,30.284616)",-97.698689,30.284616
22078631,2022,Jun,06/11/2022 12:00:00 AM,BOXL- Structure Fire,00-3005,1F,4,"(-97.691640,30.370809)",-97.69164,30.370809
22079221,2022,Jun,06/12/2022 12:00:00 AM,BOXL- Structure Fire,SV-5107,1F,-,"(-97.815078,30.233775)",-97.815078,30.233775
22079452,2022,Jun,06/12/2022 12:00:00 AM,BOXS - Still Box Alarm,00-2203,1F,3,"(-97.718708,30.235648)",-97.718708,30.235648
22080018,2022,Jun,06/13/2022 12:00:00 AM,BOXS - Still Box Alarm,00-3002,1F,7,"(-97.684412,30.385730)",-97.684412,30.38573
22080626,2022,Jun,06/14/2022 12:00:00 AM,BOX -Structure Fire,00-2801,1F,7,"(-97.677783,30.412480)",-97.677783,30.41248
22080689,2022,Jun,06/15/2022 12:00:00 AM,BOX -Structure Fire,00-2202,1F,3,"(-97.718647,30.240234)",-97.718647,30.240234
22080753,2022,Jun,06/15/2022 12:00:00 AM,BOXL- Structure Fire,00-2101,1F,10,"(-97.749186,30.352938)",-97.749186,30.352938
22080929,2022,Jun,06/15/2022 12:00:00 AM,BOX -Structure Fire,00-2402,1F,2,"(-97.741850,30.204476)",-97.74185,30.204476
22081057,2022,Jun,06/15/2022 12:00:00 AM,BOXL- Structure Fire,00-4201,1F,2,"(-97.641297,30.203302)",-97.641297,30.203302
22081353,2022,Jun,06/16/2022 12:00:00 AM,BOX -Structure Fire,00-0301,1F,9,"(-97.741485,30.292780)",-97.741485,30.29278
22081487,2022,Jun,06/16/2022 12:00:00 AM,BOXS - Still Box Alarm,00-0806,1F,7,"(-97.724311,30.382391)",-97.724311,30.382391
22081488,2022,Jun,06/16/2022 12:00:00 AM,BOX -Structure Fire,00-1201,1F,10,"(-97.754940,30.328791)",-97.75494,30.328791
22081654,2022,Jun,06/16/2022 12:00:00 AM,BOX -Structure Fire,00-0402,1F,9,"(-97.759031,30.290999)",-97.759031,30.290999
22082169,2022,Jun,06/18/2022 12:00:00 AM,BOXS - Still Box Alarm,00-0701,1F,1,"(-97.726374,30.268508)",-97.726374,30.268508
22082219,2022,Jun,06/18/2022 12:00:00 AM,BOX -Structure Fire,00-3503,1F,3,"(-97.724988,30.224966)",-97.724988,30.224966
22082265,2022,Jun,06/18/2022 12:00:00 AM,BOX -Structure Fire,00-5106,1F,5,"(-97.795957,30.229094)",-97.795957,30.229094
22082267,2022,Jun,06/18/2022 12:00:00 AM,BOX -Structure Fire,00-2906,1F,8,"(-97.854653,30.181499)",-97.854653,30.181499
22082533,2022,Jun,06/18/2022 12:00:00 AM,BOXL- Structure Fire,00-2401,1F,2,"(-97.760134,30.193220)",-97.760134,30.19322
22082554,2022,Jun,06/18/2022 12:00:00 AM,BOXS - Still Box Alarm,00-1201,1F,7,"(-97.752159,30.322698)",-97.752159,30.322698
22082573,2022,Jun,06/18/2022 12:00:00 AM,BOXS - Still Box Alarm,00-2903,1F,5,"(-97.817699,30.181026)",-97.817699,30.181026
22082575,2022,Jun,06/18/2022 12:00:00 AM,BOX -Structure Fire,00-0801,1F,4,"(-97.710996,30.375807)",-97.710996,30.375807
22082662,2022,Jun,06/18/2022 12:00:00 AM,BOXS - Still Box Alarm,00-1801,1F,1,"(-97.687625,30.321049)",-97.687625,30.321049
22082741,2022,Jun,06/18/2022 12:00:00 AM,BOX -Structure Fire,00-1804,1F,4,"(-97.703825,30.332368)",-97.703825,30.332368
22082897,2022,Jun,06/19/2022 12:00:00 AM,BOXS - Still Box Alarm,00-1503,1F,3,"(-97.704272,30.251917)",-97.704272,30.251917
22083115,2022,Jun,06/19/2022 12:00:00 AM,BOXMID -MIDRISE Structure Fire,00-1204,1F,7,"(-97.728853,30.321958)",-97.728853,30.321958
22083708,2022,Jun,06/21/2022 12:00:00 AM,BOXS - Still Box Alarm,00-0101,1F,1,"(-97.731906,30.271813)",-97.731906,30.271813
22083771,2022,Jun,06/21/2022 12:00:00 AM,BOXS - Still Box Alarm,00-0602,1F,9,"(-97.746432,30.228627)",-97.746432,30.228627
22083787,2022,Jun,06/21/2022 12:00:00 AM,BOXL- Structure Fire,00-2203,1F,3,"(-97.718708,30.235648)",-97.718708,30.235648
22083977,2022,Jun,06/21/2022 12:00:00 AM,BOXS - Still Box Alarm,00-1709,1F,3,"(-97.769150,30.205429)",-97.76915,30.205429
22083992,2022,Jun,06/21/2022 12:00:00 AM,BOX -Structure Fire,00-1803,1F,4,"(-97.704065,30.317053)",-97.704065,30.317053
22085071,2022,Jun,06/23/2022 12:00:00 AM,BOXS - Still Box Alarm,00-0102,1F,9,"(-97.741794,30.267779)",-97.741794,30.267779
22085233,2022,Jun,06/23/2022 12:00:00 AM,BOXS - Still Box Alarm,00-0805,1F,7,"(-97.731129,30.365835)",-97.731129,30.365835
22085271,2022,Jun,06/23/2022 12:00:00 AM,BOXS - Still Box Alarm,00-1202,1F,7,"(-97.743126,30.325231)",-97.743126,30.325231
22085642,2022,Jun,06/24/2022 12:00:00 AM,BOXL- Structure Fire,00-0301,1F,9,"(-97.744537,30.289306)",-97.744537,30.289306
22085882,2022,Jun,06/25/2022 12:00:00 AM,BOX -Structure Fire,00-2801,1F,7,"(-97.681194,30.423319)",-97.681194,30.423319
22086716,2022,Jun,06/26/2022 12:00:00 AM,BOXS - Still Box Alarm,00-0702,1F,3,"(-97.714315,30.253509)",-97.714315,30.253509
22086797,2022,Jun,06/26/2022 12:00:00 AM,BOXS - Still Box Alarm,00-4001,1F,7,"(-97.641189,30.406738)",-97.641189,30.406738
22087026,2022,Jun,06/27/2022 12:00:00 AM,BOX -Structure Fire,00-1706,1F,3,"(-97.765313,30.233119)",-97.765313,30.233119
22087070,2022,Jun,06/27/2022 12:00:00 AM,BOX -Structure Fire,00-2003,1F,5,"(-97.828441,30.216886)",-97.828441,30.216886
22087366,2022,Jun,06/27/2022 12:00:00 AM,BOXS - Still Box Alarm,00-3601,1F,2,"(-97.796187,30.170448)",-97.796187,30.170448
22087407,2022,Jun,06/27/2022 12:00:00 AM,BOXL- Structure Fire,00-3003,1F,7,"(-97.679324,30.399779)",-97.679324,30.399779
22087421,2022,Jun,06/27/2022 12:00:00 AM,BOX -Structure Fire,00-4610,1F,8,"(-97.860261,30.149950)",-97.860261,30.14995
22087442,2022,Jun,06/27/2022 12:00:00 AM,BOX -Structure Fire,00-1903,1F,10,"(-97.755506,30.342598)",-97.755506,30.342598
22087537,2022,Jun,06/27/2022 12:00:00 AM,BOX -Structure Fire,00-1403,1F,9,"(-97.712437,30.287706)",-97.712437,30.287706
22087759,2022,Jun,06/28/2022 12:00:00 AM,BOX -Structure Fire,00-1603,1F,4,"(-97.716076,30.326674)",-97.716076,30.326674
22087848,2022,Jun,06/28/2022 12:00:00 AM,BOXL- Structure Fire,00-2204,1F,3,"(-97.714684,30.235180)",-97.714684,30.23518
22087994,2022,Jun,06/28/2022 12:00:00 AM,BOXMID -MIDRISE Structure Fire,00-2202,1F,3,"(-97.726926,30.243675)",-97.726926,30.243675
22088011,2022,Jun,06/28/2022 12:00:00 AM,BOXL- Structure Fire,00-1706,1F,3,"(-97.769717,30.233795)",-97.769717,30.233795
22088016,2022,Jun,06/28/2022 12:00:00 AM,BOXL- Structure Fire,00-2203,1F,3,"(-97.711549,30.240419)",-97.711549,30.240419
22088167,2022,Jun,06/29/2022 12:00:00 AM,BOX -Structure Fire,00-1605,1F,7,"(-97.721431,30.333706)",-97.721431,30.333706
22088359,2022,Jun,06/29/2022 12:00:00 AM,BOX -Structure Fire,00-2306,1F,4,"(-97.692641,30.357215)",-97.692641,30.357215
22088774,2022,Jun,06/30/2022 12:00:00 AM,BOXL- Structure Fire,00-0301,1F,9,"(-97.742817,30.295429)",-97.742817,30.295429
22089028,2022,Jun,06/30/2022 12:00:00 AM,BOX -Structure Fire,00-1904,1F,7,"(-97.749179,30.341934)",-97.749179,30.341934
22089285,2022,Jul,07/01/2022 12:00:00 AM,BOX -Structure Fire,00-3001,1F,4,"(-97.705515,30.379387)",-97.705515,30.379387
22089477,2022,Jul,07/01/2022 12:00:00 AM,BOX -Structure Fire,00-3502,1F,9,"(-97.737066,30.232389)",-97.737066,30.232389
22089516,2022,Jul,07/01/2022 12:00:00 AM,BOX -Structure Fire,00-2705,1F,8,"(-97.872861,30.213849)",-97.872861,30.213849
22089614,2022,Jul,07/02/2022 12:00:00 AM,BOXL- Structure Fire,00-1202,1F,7,"(-97.743126,30.325231)",-97.743126,30.325231
22089857,2022,Jul,07/02/2022 12:00:00 AM,BOXS - Still Box Alarm,00-1501,1F,3,"(-97.689183,30.263486)",-97.689183,30.263486
22089898,2022,Jul,07/02/2022 12:00:00 AM,BOX -Structure Fire,00-0802,1F,4,"(-97.699648,30.358309)",-97.699648,30.358309
22090018,2022,Jul,07/02/2022 12:00:00 AM,BOXL- Structure Fire,00-0803,1F,4,"(-97.704029,30.356666)",-97.704029,30.356666
22090083,2022,Jul,07/02/2022 12:00:00 AM,BOXL- Structure Fire,00-4201,1F,2,"(-97.670972,30.223290)",-97.670972,30.22329
22090247,2022,Jul,07/03/2022 12:00:00 AM,BOX -Structure Fire,00-2202,1F,3,"(-97.729999,30.231285)",-97.729999,30.231285
22090260,2022,Jul,07/03/2022 12:00:00 AM,BOXS - Still Box Alarm,00-1202,1F,7,"(-97.743126,30.325231)",-97.743126,30.325231
22090279,2022,Jul,07/03/2022 12:00:00 AM,BOXS - Still Box Alarm,00-1407,1F,4,"(-97.707685,30.316811)",-97.707685,30.316811
22090337,2022,Jul,07/03/2022 12:00:00 AM,BOXS - Still Box Alarm,00-0102,1F,9,"(-97.749123,30.270964)",-97.749123,30.270964
22090604,2022,Jul,07/03/2022 12:00:00 AM,BOX -Structure Fire,00-3504,1F,2,"(-97.690174,30.212566)",-97.690174,30.212566
22090696,2022,Jul,07/04/2022 12:00:00 AM,BOXHI - HIRISE Structure Fire,00-0102,1F,9,"(-97.741522,30.267702)",-97.741522,30.267702
22090946,2022,Jul,07/04/2022 12:00:00 AM,BOXS - Still Box Alarm,00-1603,1F,4,"(-97.714411,30.337823)",-97.714411,30.337823
22091137,2022,Jul,07/04/2022 12:00:00 AM,BOX -Structure Fire,00-3607,1F,2,"(-97.777961,30.191167)",-97.777961,30.191167
22091267,2022,Jul,07/04/2022 12:00:00 AM,BOX -Structure Fire,00-2402,1F,2,"(-97.751769,30.202855)",-97.751769,30.202855
22091471,2022,Jul,07/05/2022 12:00:00 AM,BOXS - Still Box Alarm,00-0603,1F,9,"(-97.757724,30.241784)",-97.757724,30.241784
22091512,2022,Jul,07/05/2022 12:00:00 AM,BOXS - Still Box Alarm,00-2803,1F,7,"(-97.706147,30.414295)",-97.706147,30.414295
22091896,2022,Jul,07/05/2022 12:00:00 AM,BOXS - Still Box Alarm,00-3608,1F,5,"(-97.778530,30.163823)",-97.77853,30.163823
22091972,2022,Jul,07/05/2022 12:00:00 AM,BOXMID -MIDRISE Structure Fire,00-0102,1F,1,"(-97.737950,30.271869)",-97.73795,30.271869
22092256,2022,Jul,07/06/2022 12:00:00 AM,BOXS - Still Box Alarm,00-0504,1F,1,"(-97.676481,30.294868)",-97.676481,30.294868
22092392,2022,Jul,07/06/2022 12:00:00 AM,BOXS - Still Box Alarm,00-2606,1F,1,"(-97.638006,30.290333)",-97.638006,30.290333
22092484,2022,Jul,07/06/2022 12:00:00 AM,BOXS - Still Box Alarm,00-1202,1F,7,"(-97.743126,30.325231)",-97.743126,30.325231
22092497,2022,Jul,07/06/2022 12:00:00 AM,BOXS - Still Box Alarm,00-3304,1F,10,"(-97.746823,30.392165)",-97.746823,30.392165
22092954,2022,Jul,07/07/2022 12:00:00 AM,BOX -Structure Fire,00-2805,1F,7,"(-97.723039,30.400422)",-97.723039,30.400422
22093015,2022,Jul,07/08/2022 12:00:00 AM,BOX -Structure Fire,00-0303,1F,9,"(-97.738412,30.301883)",-97.738412,30.301883
22093352,2022,Jul,07/08/2022 12:00:00 AM,BOXL- Structure Fire,00-2104,1F,10,"(-97.742925,30.377427)",-97.742925,30.377427
22093380,2022,Jul,07/08/2022 12:00:00 AM,BOX -Structure Fire,00-3503,1F,3,"(-97.724988,30.224966)",-97.724988,30.224966
22093548,2022,Jul,07/09/2022 12:00:00 AM,BOX -Structure Fire,00-2205,1F,3,"(-97.689934,30.219471)",-97.689934,30.219471
22093735,2022,Jul,07/09/2022 12:00:00 AM,BOXS - Still Box Alarm,00-3002,1F,7,"(-97.704984,30.397588)",-97.704984,30.397588
22093747,2022,Jul,07/09/2022 12:00:00 AM,BOXS - Still Box Alarm,00-4201,1F,2,"(-97.634984,30.206498)",-97.634984,30.206498
22093944,2022,Jul,07/09/2022 12:00:00 AM,BOX -Structure Fire,00-1101,1F,5,"(-97.769603,30.259483)",-97.769603,30.259483
22094045,2022,Jul,07/09/2022 12:00:00 AM,BOXS - Still Box Alarm,00-3001,1F,4,"(-97.695273,30.366141)",-97.695273,30.366141
22094122,2022,Jul,07/10/2022 12:00:00 AM,BOX -Structure Fire,00-2806,1F,7,"(-97.725271,30.425000)",-97.725271,30.425
22094177,2022,Jul,07/10/2022 12:00:00 AM,BOXS - Still Box Alarm,00-3004,1F,1,"(-97.671294,30.394254)",-97.671294,30.394254
22094550,2022,Jul,07/10/2022 12:00:00 AM,BOXL- Structure Fire,00-1205,1F,7,"(-97.733255,30.319323)",-97.733255,30.319323
22094686,2022,Jul,07/11/2022 12:00:00 AM,BOXL- Structure Fire,00-3607,1F,2,"(-97.780713,30.187436)",-97.780713,30.187436
22094802,2022,Jul,07/11/2022 12:00:00 AM,BOXL- Structure Fire,00-0901,1F,9,"(-97.730678,30.299283)",-97.730678,30.299283
22095162,2022,Jul,07/11/2022 12:00:00 AM,BOX -Structure Fire,00-0702,1F,3,"(-97.714838,30.256842)",-97.714838,30.256842
22095199,2022,Jul,07/11/2022 12:00:00 AM,BOXS - Still Box Alarm,00-4302,1F,8,"(-97.915806,30.199210)",-97.915806,30.19921
22095207,2022,Jul,07/12/2022 12:00:00 AM,BOX -Structure Fire,00-1702,1F,2,"(-97.792398,30.212962)",-97.792398,30.212962
22095305,2022,Jul,07/12/2022 12:00:00 AM,BOXL- Structure Fire,00-1606,1F,7,"(-97.732475,30.356893)",-97.732475,30.356893
22095444,2022,Jul,07/12/2022 12:00:00 AM,BOXL- Structure Fire,00-3404,1F,6,"(-97.802200,30.480579)",-97.8022,30.480579
22095538,2022,Jul,07/12/2022 12:00:00 AM,BOXL- Structure Fire,,1F,-,"(-97.825731,30.458597)",-97.825731,30.458597
22095698,2022,Jul,07/12/2022 12:00:00 AM,BOXL- Structure Fire,00-1606,1F,7,"(-97.745305,30.353021)",-97.745305,30.353021
22095751,2022,Jul,07/13/2022 12:00:00 AM,BOXS - Still Box Alarm,00-2201,1F,3,"(-97.721459,30.229301)",-97.721459,30.229301
22095754,2022,Jul,07/13/2022 12:00:00 AM,BOXL- Structure Fire,00-1606,1F,7,"(-97.745711,30.352237)",-97.745711,30.352237
22095905,2022,Jul,07/13/2022 12:00:00 AM,BOX -Structure Fire,00-4302,1F,8,"(-97.913719,30.196396)",-97.913719,30.196396
22095947,2022,Jul,07/13/2022 12:00:00 AM,BOXS - Still Box Alarm,00-0801,1F,4,"(-97.716986,30.369805)",-97.716986,30.369805
22096115,2022,Jul,07/13/2022 12:00:00 AM,BOXL- Structure Fire,00-1606,1F,7,"(-97.735458,30.358312)",-97.735458,30.358312
22096738,2022,Jul,07/14/2022 12:00:00 AM,BOXL- Structure Fire,00-3703,1F,8,"(-97.902484,30.255302)",-97.902484,30.255302
22096769,2022,Jul,07/15/2022 12:00:00 AM,BOX -Structure Fire,00-2306,1F,4,"(-97.690228,30.362500)",-97.690228,30.3625
22097149,2022,Jul,07/15/2022 12:00:00 AM,BOX -Structure Fire,00-2102,1F,10,"(-97.766568,30.383137)",-97.766568,30.383137
22097247,2022,Jul,07/15/2022 12:00:00 AM,BOXL- Structure Fire,00-3908,1F,10,"(-97.839125,30.392217)",-97.839125,30.392217
22097339,2022,Jul,07/16/2022 12:00:00 AM,BOXL- Structure Fire,00-1601,1F,7,"(-97.734497,30.345670)",-97.734497,30.34567
22097358,2022,Jul,07/16/2022 12:00:00 AM,BOX -Structure Fire,00-1702,1F,3,"(-97.777253,30.206212)",-97.777253,30.206212
22097499,2022,Jul,07/16/2022 12:00:00 AM,BOX -Structure Fire,00-1702,1F,3,"(-97.769621,30.213829)",-97.769621,30.213829
22097634,2022,Jul,07/16/2022 12:00:00 AM,BOXL- Structure Fire,00-3001,1F,4,"(-97.710693,30.380841)",-97.710693,30.380841
22098074,2022,Jul,07/17/2022 12:00:00 AM,BOXS - Still Box Alarm,00-3401,1F,6,"(-97.787556,30.467138)",-97.787556,30.467138
22098705,2022,Jul,07/18/2022 12:00:00 AM,BOX -Structure Fire,00-4503,1F,6,"(-97.770881,30.480951)",-97.770881,30.480951
22098995,2022,Jul,07/19/2022 12:00:00 AM,BOXL- Structure Fire,00-0102,1F,9,"(-97.742114,30.269905)",-97.742114,30.269905
22099252,2022,Jul,07/20/2022 12:00:00 AM,BOXMID -MIDRISE Structure Fire,00-0101,1F,-,"(-97.735774,30.270228)",-97.735774,30.270228
22099499,2022,Jul,07/20/2022 12:00:00 AM,BOXS - Still Box Alarm,00-0801,1F,4,"(-97.715521,30.372089)",-97.715521,30.372089
22099588,2022,Jul,07/20/2022 12:00:00 AM,BOX -Structure Fire,00-2304,1F,4,"(-97.686365,30.348460)",-97.686365,30.34846
22099754,2022,Jul,07/21/2022 12:00:00 AM,BOX -Structure Fire,00-0903,1F,4,"(-97.715926,30.318553)",-97.715926,30.318553
22099782,2022,Jul,07/21/2022 12:00:00 AM,BOXL- Structure Fire,00-0401,1F,9,"(-97.762585,30.274911)",-97.762585,30.274911
22099952,2022,Jul,07/21/2022 12:00:00 AM,BOX -Structure Fire,00-1706,1F,3,"(-97.765998,30.232011)",-97.765998,30.232011
22100147,2022,Jul,07/21/2022 12:00:00 AM,BOXS - Still Box Alarm,00-2202,1F,3,"(-97.730662,30.234513)",-97.730662,30.234513
22100558,2022,Jul,07/22/2022 12:00:00 AM,BOXS - Still Box Alarm,00-2804,1F,7,"(-97.717747,30.392891)",-97.717747,30.392891
22101153,2022,Jul,07/23/2022 12:00:00 AM,BOX -Structure Fire,00-4302,1F,8,"(-97.883981,30.195067)",-97.883981,30.195067
22101189,2022,Jul,07/23/2022 12:00:00 AM,BOXL- Structure Fire,00-3605,1F,2,"(-97.796183,30.185048)",-97.796183,30.185048
22101225,2022,Jul,07/23/2022 12:00:00 AM,BOXS - Still Box Alarm,00-2904,1F,5,"(-97.836697,30.174790)",-97.836697,30.17479
22101288,2022,Jul,07/23/2022 12:00:00 AM,BOXS - Still Box Alarm,00-1703,1F,5,"(-97.783995,30.218841)",-97.783995,30.218841
22101363,2022,Jul,07/23/2022 12:00:00 AM,BOXL- Structure Fire,00-3403,1F,6,"(-97.809452,30.467244)",-97.809452,30.467244
22101494,2022,Jul,07/24/2022 12:00:00 AM,BOXS - Still Box Alarm,00-2303,1F,1,"(-97.676213,30.329801)",-97.676213,30.329801
22102117,2022,Jul,07/25/2022 12:00:00 AM,BOX -Structure Fire,00-3001,1F,4,"(-97.693312,30.370298)",-97.693312,30.370298
22102153,2022,Jul,07/25/2022 12:00:00 AM,BOX -Structure Fire,00-2903,1F,5,"(-97.821021,30.188172)",-97.821021,30.188172
22102401,2022,Jul,07/25/2022 12:00:00 AM,BOXL- Structure Fire,00-1407,1F,4,"(-97.708907,30.319297)",-97.708907,30.319297
22102728,2022,Jul,07/26/2022 12:00:00 AM,BOXL- Structure Fire,00-4001,1F,7,"(-97.653458,30.394508)",-97.653458,30.394508
22102754,2022,Jul,07/26/2022 12:00:00 AM,BOXL- Structure Fire,00-2404,1F,2,"(-97.732433,30.170487)",-97.732433,30.170487
22103132,2022,Jul,07/27/2022 12:00:00 AM,BOXL- Structure Fire,00-4005,1F,7,"(-97.669766,30.431723)",-97.669766,30.431723
22103198,2022,Jul,07/27/2022 12:00:00 AM,BOXL- Structure Fire,00-4001,1F,7,"(-97.659042,30.396490)",-97.659042,30.39649
22103284,2022,Jul,07/27/2022 12:00:00 AM,BOX -Structure Fire,00-2306,1F,4,"(-97.694042,30.357927)",-97.694042,30.357927
22103836,2022,Jul,07/28/2022 12:00:00 AM,BOXS - Still Box Alarm,00-1804,1F,4,"(-97.694680,30.326797)",-97.69468,30.326797
22103925,2022,Jul,07/28/2022 12:00:00 AM,BOX -Structure Fire,04-2604,1F,-,"(-97.623101,30.282495)",-97.623101,30.282495
22104431,2022,Jul,07/29/2022 12:00:00 AM,BOX -Structure Fire,00-0302,1F,10,"(-97.754220,30.308466)",-97.75422,30.308466
22104475,2022,Jul,07/29/2022 12:00:00 AM,BOXL- Structure Fire,00-2805,1F,7,"(-97.725292,30.402647)",-97.725292,30.402647
22104745,2022,Jul,07/30/2022 12:00:00 AM,BOXL- Structure Fire,00-3402,1F,6,"(-97.797032,30.467164)",-97.797032,30.467164
22104822,2022,Jul,07/30/2022 12:00:00 AM,BOXS - Still Box Alarm,00-3502,1F,3,"(-97.728512,30.226272)",-97.728512,30.226272
22104839,2022,Jul,07/30/2022 12:00:00 AM,BOXS - Still Box Alarm,00-0401,1F,9,"(-97.753964,30.271539)",-97.753964,30.271539
22105009,2022,Jul,07/30/2022 12:00:00 AM,BOXS - Still Box Alarm,00-2807,1F,6,"(-97.748610,30.439471)",-97.74861,30.439471
22105073,2022,Jul,07/30/2022 12:00:00 AM,BOX -Structure Fire,00-1706,1F,3,"(-97.765313,30.233119)",-97.765313,30.233119
22105243,2022,Jul,07/31/2022 12:00:00 AM,BOX -Structure Fire,00-0603,1F,5,"(-97.769093,30.246278)",-97.769093,30.246278
22105739,2022,Aug,08/01/2022 12:00:00 AM,BOXS - Still Box Alarm,00-2206,1F,3,"(-97.698042,30.222576)",-97.698042,30.222576
22105783,2022,Aug,08/01/2022 12:00:00 AM,BOXS - Still Box Alarm,00-4003,1F,1,"(-97.649368,30.366632)",-97.649368,30.366632
22105806,2022,Aug,08/01/2022 12:00:00 AM,BOX -Structure Fire,00-2608,1F,1,"(-97.655210,30.307342)",-97.65521,30.307342
22105983,2022,Aug,08/01/2022 12:00:00 AM,BOX -Structure Fire,00-4001,1F,7,"(-97.654102,30.397043)",-97.654102,30.397043
22106444,2022,Aug,08/02/2022 12:00:00 AM,BOX -Structure Fire,04-2609,1F,-,"(-97.607373,30.264069)",-97.607373,30.264069
22106565,2022,Aug,08/02/2022 12:00:00 AM,BOXL- Structure Fire,00-2502,1F,7,"(-97.742372,30.401253)",-97.742372,30.401253
22106841,2022,Aug,08/03/2022 12:00:00 AM,BOX -Structure Fire,00-4401,1F,6,"(-97.771887,30.433548)",-97.771887,30.433548
22106926,2022,Aug,08/03/2022 12:00:00 AM,BOXS - Still Box Alarm,00-1803,1F,4,"(-97.703472,30.319094)",-97.703472,30.319094
22106989,2022,Aug,08/03/2022 12:00:00 AM,BOXS - Still Box Alarm,00-2402,1F,2,"(-97.760701,30.196998)",-97.760701,30.196998
22107509,2022,Aug,08/04/2022 12:00:00 AM,BOX -Structure Fire,00-1605,1F,7,"(-97.727677,30.329991)",-97.727677,30.329991
22107641,2022,Aug,08/04/2022 12:00:00 AM,BOXS - Still Box Alarm,00-1802,1F,1,"(-97.674185,30.301130)",-97.674185,30.30113
22107669,2022,Aug,08/04/2022 12:00:00 AM,BOX -Structure Fire,00-2903,1F,5,"(-97.829371,30.175472)",-97.829371,30.175472
22108069,2022,Aug,08/05/2022 12:00:00 AM,BOXL- Structure Fire,00-1804,1F,4,"(-97.700088,30.338009)",-97.700088,30.338009
22108088,2022,Aug,08/05/2022 12:00:00 AM,BOX -Structure Fire,00-0504,1F,1,"(-97.675061,30.286794)",-97.675061,30.286794
22108144,2022,Aug,08/05/2022 12:00:00 AM,BOXS - Still Box Alarm,00-2206,1F,3,"(-97.701706,30.215211)",-97.701706,30.215211
22108494,2022,Aug,08/06/2022 12:00:00 AM,BOXS - Still Box Alarm,00-1903,1F,10,"(-97.760685,30.341947)",-97.760685,30.341947
22108675,2022,Aug,08/06/2022 12:00:00 AM,BOXL- Structure Fire,00-0801,1F,4,"(-97.716986,30.369805)",-97.716986,30.369805
22109248,2022,Aug,08/08/2022 12:00:00 AM,BOXS - Still Box Alarm,00-3403,1F,6,"(-97.800230,30.472383)",-97.80023,30.472383
22109274,2022,Aug,08/08/2022 12:00:00 AM,BOXS - Still Box Alarm,00-1802,1F,1,"(-97.671644,30.307042)",-97.671644,30.307042
22109586,2022,Aug,08/08/2022 12:00:00 AM,BOXL- Structure Fire,00-0901,1F,9,"(-97.729722,30.308539)",-97.729722,30.308539
22110647,2022,Aug,08/10/2022 12:00:00 AM,BOX -Structure Fire,00-3605,1F,5,"(-97.805483,30.175907)",-97.805483,30.175907
22110779,2022,Aug,08/10/2022 12:00:00 AM,BOX -Structure Fire,04-2604,1F,-,"(-97.619179,30.265969)",-97.619179,30.265969
22110926,2022,Aug,08/11/2022 12:00:00 AM,BOX -Structure Fire,00-0603,1F,9,"(-97.752732,30.240772)",-97.752732,30.240772
