incident_number,calendaryear,month,incdate,call_type,problem,responsearea,jurisdiction,prioritydescription,council_district,location,longitude,latitude,is_nonconfined_structure_fire,is_confined_structure_fire,is_structure_fire,is_vehicle_fire,is_outdoor_fire,is_trash_fire,incident_category,PARCEL_ID,PROP_ID,LAND_USE,GENERAL_LAND_USE,PROPERTY_ADDRESS,IMPRV_TYPE,BLDG_SQUARE_FOOTAGE,YEAR_BUILT,UNITS,ZONING_ZTYPE,ZONING_BASE,COUNCIL_DISTRICT,MARKET_VALUE,APPRAISED_VAL,LAND_ACRES,FAR,zoning_label,zoning_category,census_tract_geoid,census_county_fips,census_tract_name,census_tract_land_area_sqm,census_population,housing_total_units,housing_1_detached,housing_1_attached,housing_2_units,housing_3_4_units,housing_5_9_units,housing_10_19_units,housing_20_49_units,housing_50plus_units,housing_mobile_home,housing_boat_rv_van,yrbuilt_total,yrbuilt_2020_later,yrbuilt_2010_2019,yrbuilt_2000_2009,yrbuilt_1990_1999,yrbuilt_1980_1989,yrbuilt_1970_1979,yrbuilt_1960_1969,yrbuilt_1950_1959,yrbuilt_1940_1949,yrbuilt_1939_earlier,IMPRV_CLEAN
22177238,2022,Dec,12/23/2022 12:00:00 AM,Fire,BOXS - Still Box Alarm,00-2201,AFD,1F,3,"(-97.722292,30.223103)",-97.722292,30.223103,True,False,True,False,False,False,Structure Fire (non-confined),0310080212,507792.0,220.0,200.0,4807 1 E OLTORF ST 78741,TOWNHOMES,,2002.0,12.0,SF-6-NP,SF,3.0,429799.0,429799.0,0.1085,0.03636899,Single Family Residential (Neighborhood Plan),Residential,48453002313.0,453.0,23.13,2432026.0,3730.0,2013.0,219.0,47.0,166.0,102.0,371.0,710.0,168.0,216.0,14.0,0.0,2013.0,0.0,86.0,256.0,511.0,684.0,283.0,146.0,25.0,0.0,22.0,TOWNHOMES
23006176,2023,Jan,01/13/2023 12:00:00 AM,Fire,BOXS - Still Box Alarm,00-2201,AFD,1F,3,"(-97.722292,30.223103)",-97.722292,30.223103,True,False,True,False,False,False,Structure Fire (non-confined),0310080212,507792.0,220.0,200.0,4807 1 E OLTORF ST 78741,TOWNHOMES,,2002.0,12.0,SF-6-NP,SF,3.0,429799.0,429799.0,0.1085,0.03636899,Single Family Residential (Neighborhood Plan),Residential,48453002313.0,453.0,23.13,2432026.0,3730.0,2013.0,219.0,47.0,166.0,102.0,371.0,710.0,168.0,216.0,14.0,0.0,2013.0,0.0,86.0,256.0,511.0,684.0,283.0,146.0,25.0,0.0,22.0,TOWNHOMES
23014424,2023,Jan,01/30/2023 12:00:00 AM,Fire,TRASH - Trash Fire,00-3001,AFD,3F,4,"(-97.697748,30.367585)",-97.697748,30.367585,False,False,False,False,False,True,Trash/Dumpster Fire,0243170238,249212.0,100.0,100.0,"9613 COVEY RIDGE LN, TX 78758",TOWNHOMES                ,1237.0,1972.0,1.0,PUD-NP,PUD,4.0,281847.0,281847.0,0.0978,1.019925,Planned Unit Development (Neighborhood Plan),Mixed/Planned,48453040900.0,453.0,409.0,1749084.0,6507.0,2482.0,736.0,286.0,187.0,190.0,466.0,512.0,91.0,14.0,0.0,0.0,2482.0,0.0,128.0,13.0,291.0,381.0,1528.0,48.0,93.0,0.0,0.0,TOWNHOMES
23018421,2023,Feb,02/02/2023 12:00:00 AM,Fire,TRASH - Trash Fire,00-3001,AFD,3F,4,"(-97.697699,30.367561)",-97.697699,30.367561,False,False,False,False,False,True,Trash/Dumpster Fire,0243170238,249212.0,100.0,100.0,"9613 COVEY RIDGE LN, TX 78758",TOWNHOMES                ,1237.0,1972.0,1.0,PUD-NP,PUD,4.0,281847.0,281847.0,0.0978,1.019925,Planned Unit Development (Neighborhood Plan),Mixed/Planned,48453040900.0,453.0,409.0,1749084.0,6507.0,2482.0,736.0,286.0,187.0,190.0,466.0,512.0,91.0,14.0,0.0,0.0,2482.0,0.0,128.0,13.0,291.0,381.0,1528.0,48.0,93.0,0.0,0.0,TOWNHOMES
23026582,2023,Feb,02/16/2023 12:00:00 AM,Fire,BOXS - Still Box Alarm,00-1901,AFD,1F,10,"(-97.766169,30.338395)",-97.766169,30.338395,True,False,True,False,False,False,Structure Fire (non-confined),0132050910,128199.0,220.0,200.0,5503 A-2 OAKWOOD CV 78731,TOWNHOMES,,1985.0,184.0,PUD,PUD,10.0,1032213.0,1032213.0,0.3194,0.002048553,Planned Unit Development,Mixed/Planned,48453000102.0,453.0,1.02,5575522.0,2155.0,1122.0,899.0,70.0,33.0,19.0,74.0,0.0,0.0,7.0,20.0,0.0,1122.0,39.0,34.0,40.0,44.0,171.0,137.0,170.0,449.0,29.0,9.0,TOWNHOMES
23030178,2023,Feb,02/24/2023 12:00:00 AM,Fire,GRASS - Small Grass Fire,00-2104,AFD,3F,10,"(-97.747658,30.369770)",-97.747658,30.36977,False,False,False,False,True,False,Outdoor/Vegetation Fire,0243011238,248486.0,100.0,100.0,"8133 FOREST MESA DR, AUSTIN, TX 78759",TOWNHOMES                ,1702.0,1981.0,1.0,SF-6,SF,10.0,417907.0,417907.0,0.1241,0.3214462,Single Family Residential,Residential,48453030200.0,453.0,302.0,2795283.0,5039.0,2755.0,1006.0,514.0,64.0,94.0,335.0,483.0,12.0,247.0,0.0,0.0,2755.0,0.0,117.0,35.0,36.0,610.0,1403.0,539.0,15.0,0.0,0.0,TOWNHOMES
23053735,2023,Apr,04/14/2023 12:00:00 AM,Fire,ELEC - Electrical Fire,00-2903,AFD,3F,5,"(-97.839139,30.181484)",-97.839139,30.181484,False,True,True,False,False,False,Structure Fire (confined),0426250153,576093.0,100.0,100.0,"9701 WEST GATE BLVD, TX 78745",TOWNHOMES                ,17650.0,2022.0,0.0,SF-6,SF,5.0,875251.0,875251.0,2.0093,0.2033604,Single Family Residential,Residential,48453031700.0,453.0,317.0,2514694.0,4729.0,2168.0,1134.0,256.0,41.0,158.0,38.0,145.0,112.0,284.0,0.0,0.0,2168.0,0.0,419.0,124.0,670.0,816.0,63.0,9.0,5.0,0.0,62.0,TOWNHOMES
23079353,2023,Jun,06/08/2023 12:00:00 AM,Fire,TRASH - Trash Fire,00-3001,AFD,3F,4,"(-97.697699,30.367561)",-97.697699,30.367561,False,False,False,False,False,True,Trash/Dumpster Fire,0243170238,249212.0,100.0,100.0,"9613 COVEY RIDGE LN, TX 78758",TOWNHOMES                ,1237.0,1972.0,1.0,PUD-NP,PUD,4.0,281847.0,281847.0,0.0978,1.019925,Planned Unit Development (Neighborhood Plan),Mixed/Planned,48453040900.0,453.0,409.0,1749084.0,6507.0,2482.0,736.0,286.0,187.0,190.0,466.0,512.0,91.0,14.0,0.0,0.0,2482.0,0.0,128.0,13.0,291.0,381.0,1528.0,48.0,93.0,0.0,0.0,TOWNHOMES
23082451,2023,Jun,06/15/2023 12:00:00 AM,Fire,ELEC - Electrical Fire,00-3801,AFD,3F,6,"(-97.804962,30.443380)",-97.804962,30.44338,False,True,True,False,False,False,Structure Fire (confined),0170150440,174688.0,100.0,100.0,"11512 TIN CUP DR, TX 78750",TOWNHOMES                ,2149.0,1979.0,15.0,RR,RR,6.0,543837.0,543837.0,0.1865,0.6106288,Rural Residential,Residential,48453033700.0,453.0,337.0,2443338.0,2855.0,1077.0,827.0,28.0,5.0,35.0,151.0,0.0,0.0,28.0,3.0,0.0,1077.0,0.0,5.0,114.0,110.0,84.0,718.0,40.0,0.0,0.0,6.0,TOWNHOMES
23092210,2023,Jul,07/04/2023 12:00:00 AM,Fire,TRASH - Trash Fire,00-2002,AFD,3F,5,"(-97.811177,30.194101)",-97.811177,30.194101,False,False,False,False,False,True,Trash/Dumpster Fire,0419191002,333278.0,220.0,200.0,7825 1 BEAUREGARD CIR 78745,TOWNHOMES,,1983.0,52.0,LO,LO,5.0,558749.0,558749.0,0.2077,0.009974012,Limited Office,Office,48453030900.0,453.0,309.0,3612891.0,7581.0,3344.0,2723.0,212.0,313.0,18.0,38.0,0.0,0.0,40.0,0.0,0.0,3344.0,19.0,294.0,615.0,192.0,1148.0,1053.0,0.0,23.0,0.0,0.0,TOWNHOMES
